,Name,Season,Matches,W,D,L,Goals,Points,PPM
371,Ole Gunnar Solskjær,2016/17,36,21,6,9,61:43,69,1.92
372,Ole Gunnar Solskjær,2017/18,32,19,5,8,69:38,62,1.94
373,Ole Gunnar Solskjær,2018/19,37,21,5,11,64:42,68,1.84
374,Ole Gunnar Solskjær,2019/20,61,34,15,12,117:55,117,1.92
375,Ole Gunnar Solskjær,2020/21,61,35,13,13,131:79,118,1.93
376,Ole Gunnar Solskjær,2021/22,17,7,3,7,28:29,24,1.41
377,Claudio Ranieri,1992/93,17,8,3,6,32:23,27,1.59
378,Claudio Ranieri,1993/94,43,19,18,6,59:21,75,1.74
379,Claudio Ranieri,1994/95,40,14,13,13,69:65,55,1.38
380,Claudio Ranieri,1995/96,42,25,8,9,70:44,83,1.98
381,Claudio Ranieri,1996/97,45,15,18,12,60:53,63,1.40
382,Claudio Ranieri,1997/98,39,18,7,14,62:50,61,1.56
383,Claudio Ranieri,1998/99,53,30,10,13,100:54,100,1.89
384,Claudio Ranieri,1999/00,39,16,10,13,63:53,58,1.49
385,Claudio Ranieri,2000/01,37,18,7,12,72:45,61,1.65
386,Claudio Ranieri,2001/02,55,28,16,11,96:53,100,1.82
387,Claudio Ranieri,2002/03,48,25,11,12,88:51,86,1.79
388,Claudio Ranieri,2003/04,59,36,12,11,102:48,120,2.03
389,Claudio Ranieri,2004/05,35,15,9,11,51:42,54,1.54
390,Claudio Ranieri,2006/07,18,7,6,5,24:19,27,1.50
391,Claudio Ranieri,2007/08,43,22,13,8,85:48,79,1.84
392,Claudio Ranieri,2008/09,50,25,16,9,87:51,91,1.82
393,Claudio Ranieri,2009/10,49,31,9,9,85:49,102,2.08
394,Claudio Ranieri,2010/11,35,16,7,12,55:54,55,1.57
395,Claudio Ranieri,2011/12,35,17,5,13,46:42,56,1.60
396,Claudio Ranieri,2012/13,42,24,13,5,78:44,85,2.02
397,Claudio Ranieri,2013/14,44,27,11,6,77:37,92,2.09
398,Claudio Ranieri,2014/15,4,0,1,3,1:5,1,0.25
399,Claudio Ranieri,2015/16,43,25,13,5,81:48,88,2.05
400,Claudio Ranieri,2016/17,38,11,8,19,42:62,41,1.08
401,Claudio Ranieri,2017/18,41,15,10,16,44:48,55,1.34
402,Claudio Ranieri,2018/19,29,9,7,13,33:46,34,1.17
403,Claudio Ranieri,2019/20,32,11,6,15,45:51,39,1.22
404,Claudio Ranieri,2020/21,40,16,7,17,54:57,55,1.38
405,Claudio Ranieri,2021/22,14,2,1,11,17:34,7,0.50
406,Claudio Ranieri,2022/23,24,12,10,2,34:15,46,1.92
407,Claudio Ranieri,2023/24,41,10,12,19,47:74,42,1.02
408,Sir Bobby Robson,1992/93,2,1,0,1,3:4,3,1.50
409,Sir Bobby Robson,1993/94,14,8,2,4,25:18,26,1.86
410,Sir Bobby Robson,1994/95,13,7,4,2,22:10,25,1.92
411,Sir Bobby Robson,1995/96,11,5,4,2,19:10,19,1.73
412,Sir Bobby Robson,1996/97,60,39,12,9,143:69,129,2.15
413,Sir Bobby Robson,1998/99,47,24,11,12,117:72,83,1.77
414,Sir Bobby Robson,1999/00,45,21,12,12,81:51,75,1.67
415,Sir Bobby Robson,2000/01,44,16,11,17,53:58,59,1.34
416,Sir Bobby Robson,2001/02,53,31,11,11,106:68,104,1.96
417,Sir Bobby Robson,2002/03,54,28,7,19,91:78,91,1.69
418,Sir Bobby Robson,2003/04,55,23,20,12,86:58,89,1.62
419,Sir Bobby Robson,2004/05,4,0,2,2,6:9,2,0.50
420,Brendan Rodgers,2008/09,31,13,6,12,46:47,45,1.45
421,Brendan Rodgers,2009/10,23,6,6,11,29:36,24,1.04
